URL,Name,Fuel Economy,Price,Transmission,Exterior Color,Interior Color,Body/Seating,Drivetrain,Engine,Stock #,Location,VIN,Contact #
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-44831cf90a0e0a1772e80b105d28095d.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$61,370",7 speed automatic with auto-shift,White,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB00662,Porsche - Dallas,WP1AA2A56LLB00662,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-87290cdd0a0e0ae86ad90d28fc6e170d.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$65,690",7 speed automatic with auto-shift,White,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB02282,Porsche - Dallas,WP1AA2A56LLB02282,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-f1a7caa60a0e0adf1ea85fd30cb6ec91.htm ,Macan S S AWD,18.0/23.0 mpg City/Hwy,"$67,660",7 speed automatic with auto-shift,Black,Black,S AWD/5 seats,all-wheel drive,3.0 L 6,LLB35255,Porsche - Grapevine,WP1AB2A57LLB35255,(833) 470-0671
https://www.parkplace.com//new/Porsche/2019-Porsche-Macan-dallas+fort+worth-a53d57600a0e0aea0d1bb2d807e11ad6.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$67,930",7 speed automatic with auto-shift,Red,Black,AWD/5 seats,all-wheel drive,2.0 L 4,KLB07837,Porsche - Dallas,WP1AA2A58KLB07837,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-448318e70a0e0a1772e80b10d7530aef.htm ,Macan S S AWD,18.0/23.0 mpg City/Hwy,"$67,820",7 speed automatic with auto-shift,Silver,Black,S AWD/5 seats,all-wheel drive,3.0 L 6,LLB30157,Porsche - Dallas,WP1AB2A54LLB30157,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-06651e9d0a0e0adf793cc04aef73be8a.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$66,160",7 speed automatic with auto-shift,White,Black Mojave Beige,AWD/5 seats,all-wheel drive,2.0 L 4,LLB00014,Porsche - Grapevine,WP1AA2A54LLB00014,(833) 470-0671
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-8e28f3dc0a0e0adf5913ef058c88c14c.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$69,470",7 speed automatic with auto-shift,Carmine Red,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB02002,Porsche - Grapevine,WP1AA2A57LLB02002,(833) 470-0671
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-5c6d69d00a0e0ae8703b023669e4818a.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$65,110",7 speed automatic with auto-shift,Black,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB03321,Porsche - Dallas,WP1AA2A56LLB03321,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-06655b930a0e0aea6cfef0cd9f4456d0.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$65,060",7 speed automatic with auto-shift,Silver,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB00291,Porsche - Dallas,WP1AA2A58LLB00291,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-f1a7cdad0a0e0adf1ea85fd3c35aee6f.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$64,890",7 speed automatic with auto-shift,Black,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB05257,Porsche - Dallas,WP1AA2A50LLB05257,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-cd9b47180a0e0ae84c7f6b0d51c7121c.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$63,480",7 speed automatic with auto-shift,Black,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB04588,Porsche - Dallas,WP1AA2A57LLB04588,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-a4169d760a0e0ae71e4d0d97efea0ff4.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$69,620",7 speed automatic with auto-shift,Black,Black Mojave Beige,AWD/5 seats,all-wheel drive,2.0 L 4,LLB04343,Porsche - Grapevine,WP1AA2A5XLLB04343,(833) 470-0671
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-20233b460a0e0a6b1ad9e1bcc76afe29.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$61,480",7 speed automatic with auto-shift,White,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB00911,Porsche - Dallas,WP1AA2A51LLB00911,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-f1a7cf570a0e0adf1ea85fd3c94c6687.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$71,110",7 speed automatic with auto-shift,Gray,Black,AWD/5 seats,all-wheel drive,2.0 L 4,LLB04890,Porsche - Dallas,WP1AA2A56LLB04890,(866) 364-1132
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-2d2ae24d0a0e0adf668239fe90e136fc.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$70,820",7 speed automatic with auto-shift,White,Black Mojave Beige,AWD/5 seats,all-wheel drive,2.0 L 4,LLB02794,Porsche - Grapevine,WP1AA2A50LLB02794,(833) 470-0671
https://www.parkplace.com//new/Porsche/2020-Porsche-Macan-dallas+fort+worth-f1a7cbd30a0e0adf1ea85fd384285654.htm ,Macan  AWD,19.0/23.0 mpg City/Hwy,"$70,650",7 speed automatic with auto-shift,White,Black Mojave Beige,AWD/5 seats,all-wheel drive,2.0 L 4,LLB04880,Porsche - Grapevine,WP1AA2A53LLB04880,(833) 470-0671
